eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,128,77,-72807.846705,1.494821e-01,5,5,5.5,f,-5.5,+1,4,4,4.5,e,-3.5,+1
sigma+,sigma-,129,78,-72807.846704,2.174286e-01,5,5,5.5,f,-4.5,+1,4,4,4.5,e,-2.5,+1
sigma+,sigma-,130,79,-72807.846702,2.283000e-01,5,5,5.5,f,-3.5,+1,4,4,4.5,e,-1.5,+1
sigma+,sigma-,131,80,-72807.846701,2.029334e-01,5,5,5.5,f,-2.5,+1,4,4,4.5,e,-0.5,+1
sigma+,sigma-,132,81,-72807.846700,1.585418e-01,5,5,5.5,f,-1.5,+1,4,4,4.5,e,+0.5,+1
sigma+,sigma-,133,82,-72807.846698,1.087144e-01,5,5,5.5,f,-0.5,+1,4,4,4.5,e,+1.5,+1
sigma+,sigma-,134,83,-72807.846697,6.341673e-02,5,5,5.5,f,+0.5,+1,4,4,4.5,e,+2.5,+1
sigma+,sigma-,135,84,-72807.846696,2.899051e-02,5,5,5.5,f,+1.5,+1,4,4,4.5,e,+3.5,+1
sigma+,sigma-,136,85,-72807.846694,8.153582e-03,5,5,5.5,f,+2.5,+1,4,4,4.5,e,+4.5,+1
sigma+,sigma-,106,61,-72806.988701,1.711908e-01,5,5,4.5,f,-4.5,+1,4,4,3.5,e,-2.5,+1
sigma+,sigma-,107,62,-72806.988699,2.282544e-01,5,5,4.5,f,-3.5,+1,4,4,3.5,e,-1.5,+1
sigma+,sigma-,108,63,-72806.988697,2.139885e-01,5,5,4.5,f,-2.5,+1,4,4,3.5,e,-0.5,+1
sigma+,sigma-,109,64,-72806.988695,1.630388e-01,5,5,4.5,f,-1.5,+1,4,4,3.5,e,+0.5,+1
sigma+,sigma-,110,65,-72806.988693,1.018992e-01,5,5,4.5,f,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,111,66,-72806.988691,4.891163e-02,5,5,4.5,f,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,112,67,-72806.988689,1.426589e-02,5,5,4.5,f,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,128,60,-72803.411252,1.870909e-02,5,5,5.5,f,-5.5,+1,4,4,3.5,e,-3.5,+1
sigma+,sigma-,129,61,-72803.411249,1.190577e-02,5,5,5.5,f,-4.5,+1,4,4,3.5,e,-2.5,+1
sigma+,sigma-,130,62,-72803.411245,7.143458e-03,5,5,5.5,f,-3.5,+1,4,4,3.5,e,-1.5,+1
sigma+,sigma-,131,63,-72803.411242,3.968584e-03,5,5,5.5,f,-2.5,+1,4,4,3.5,e,-0.5,+1
sigma+,sigma-,132,64,-72803.411239,1.984290e-03,5,5,5.5,f,-1.5,+1,4,4,3.5,e,+0.5,+1
sigma+,sigma-,133,65,-72803.411235,8.504094e-04,5,5,5.5,f,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,134,66,-72803.411232,2.834696e-04,5,5,5.5,f,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,135,67,-72803.411229,5.669386e-05,5,5,5.5,f,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,38,9,-72764.334070,4.323569e-02,3,3,2.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,39,10,-72764.334057,3.458846e-02,3,3,2.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,40,11,-72764.334044,1.297064e-02,3,3,2.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,52,8,-72758.537909,3.398781e-01,3,3,3.5,f,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,53,9,-72758.537893,1.456621e-01,3,3,3.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,54,10,-72758.537877,4.855408e-02,3,3,3.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,55,11,-72758.537862,9.710822e-03,3,3,3.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,38,2,-72749.286478,2.644321e-01,3,3,2.5,f,-2.5,+1,1,1,0.5,f,-0.5,+1
sigma+,sigma-,39,3,-72749.286441,5.288637e-02,3,3,2.5,f,-1.5,+1,1,1,0.5,f,+0.5,+1
sigma+,sigma-,32,5,-72737.884068,7.594650e-03,3,3,2.5,e,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,33,6,-72737.884056,6.075705e-03,3,3,2.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,34,7,-72737.884044,2.278384e-03,3,3,2.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,44,4,-72732.087908,6.003310e-02,3,3,3.5,e,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,45,5,-72732.087893,2.572849e-02,3,3,3.5,e,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,46,6,-72732.087877,8.576170e-03,3,3,3.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,47,7,-72732.087861,1.715235e-03,3,3,3.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,32,0,-72722.836479,4.673333e-02,3,3,2.5,e,-2.5,-1,1,1,0.5,e,-0.5,-1
sigma+,sigma-,33,1,-72722.836442,9.346657e-03,3,3,2.5,e,-1.5,-1,1,1,0.5,e,+0.5,-1
sigma+,sigma-,103,95,-72679.174164,3.603127e-04,5,5,4.5,e,+2.5,-1,4,4,4.5,f,+4.5,-1
sigma+,sigma-,102,94,-72679.174163,8.407302e-04,5,5,4.5,e,+1.5,-1,4,4,4.5,f,+3.5,-1
