eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,121,36,-130906.150017,7.950106e-09,5,5,5.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,122,37,-130906.095448,1.582564e-09,5,5,5.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,68,27,-101863.493351,2.157766e-02,4,4,3.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,69,28,-101863.460195,2.436343e-02,4,4,3.5,f,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,70,29,-101863.426758,1.805605e-02,4,4,3.5,f,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,71,30,-101863.393045,9.517511e-03,4,4,3.5,f,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,72,31,-101863.359063,2.940032e-03,4,4,3.5,f,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,86,26,-101859.174144,4.721240e-01,4,4,4.5,f,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,87,27,-101859.122431,2.631869e-01,4,4,4.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,88,28,-101859.070511,1.320356e-01,4,4,4.5,f,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,89,29,-101859.018390,5.677379e-02,4,4,4.5,f,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,90,30,-101858.966073,1.898617e-02,4,4,4.5,f,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,91,31,-101858.913564,3.809396e-03,4,4,4.5,f,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,16,-101855.257277,4.234975e-01,4,4,3.5,f,-3.5,-1,2,2,1.5,f,-1.5,-1
sigma+,sigma-,69,17,-101855.160613,1.808873e-01,4,4,3.5,f,-2.5,-1,2,2,1.5,f,-0.5,-1
sigma+,sigma-,70,18,-101855.064152,6.009649e-02,4,4,3.5,f,-1.5,-1,2,2,1.5,f,+0.5,-1
sigma+,sigma-,71,19,-101854.967890,1.198033e-02,4,4,3.5,f,-0.5,-1,2,2,1.5,f,+1.5,-1
sigma+,sigma-,87,16,-101850.886356,3.595808e-10,4,4,4.5,f,-3.5,-1,2,2,1.5,f,-1.5,-1
sigma+,sigma-,88,17,-101850.770929,1.107689e-10,4,4,4.5,f,-2.5,-1,2,2,1.5,f,-0.5,-1
sigma+,sigma-,89,18,-101850.655785,1.000795e-11,4,4,4.5,f,-1.5,-1,2,2,1.5,f,+0.5,-1
sigma+,sigma-,60,21,-101826.447936,3.788408e-03,4,4,3.5,e,-3.5,+1,2,2,2.5,e,-1.5,+1
