eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,133,65,-72803.411235,9.193742e-05,5,5,5.5,f,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,134,66,-72803.411232,3.064578e-05,5,5,5.5,f,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,135,67,-72803.411229,6.129151e-06,5,5,5.5,f,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,38,9,-72764.334070,2.176796e-02,3,3,2.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,39,10,-72764.334057,1.741432e-02,3,3,2.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,40,11,-72764.334044,6.530355e-03,3,3,2.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,52,8,-72758.537909,1.713990e-01,3,3,3.5,f,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,53,9,-72758.537893,7.345675e-02,3,3,3.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,54,10,-72758.537877,2.448560e-02,3,3,3.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,55,11,-72758.537862,4.897123e-03,3,3,3.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,38,2,-72749.286478,1.333741e-01,3,3,2.5,f,-2.5,+1,1,1,0.5,f,-0.5,+1
sigma+,sigma-,39,3,-72749.286441,2.667480e-02,3,3,2.5,f,-1.5,+1,1,1,0.5,f,+0.5,+1
sigma+,sigma-,32,5,-72737.884068,2.176792e-02,3,3,2.5,e,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,33,6,-72737.884056,1.741429e-02,3,3,2.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,34,7,-72737.884044,6.530342e-03,3,3,2.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,44,4,-72732.087908,1.713990e-01,3,3,3.5,e,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,45,5,-72732.087893,7.345676e-02,3,3,3.5,e,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,46,6,-72732.087877,2.448561e-02,3,3,3.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,47,7,-72732.087861,4.897125e-03,3,3,3.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,32,0,-72722.836479,1.333742e-01,3,3,2.5,e,-2.5,-1,1,1,0.5,e,-0.5,-1
sigma+,sigma-,33,1,-72722.836442,2.667481e-02,3,3,2.5,e,-1.5,-1,1,1,0.5,e,+0.5,-1
sigma+,sigma-,103,95,-72679.174164,3.305409e-04,5,5,4.5,e,+2.5,-1,4,4,4.5,f,+4.5,-1
