eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,131,80,-72807.823894,2.030740e-01,5,5,5.5,f,-2.5,+1,4,4,4.5,e,-0.5,+1
sigma+,sigma-,132,81,-72807.817341,1.588057e-01,5,5,5.5,f,-1.5,+1,4,4,4.5,e,+0.5,+1
sigma+,sigma-,133,82,-72807.810783,1.090005e-01,5,5,5.5,f,-0.5,+1,4,4,4.5,e,+1.5,+1
sigma+,sigma-,134,83,-72807.804221,6.364464e-02,5,5,5.5,f,+0.5,+1,4,4,4.5,e,+2.5,+1
sigma+,sigma-,135,84,-72807.797654,2.912243e-02,5,5,5.5,f,+1.5,+1,4,4,4.5,e,+3.5,+1
sigma+,sigma-,136,85,-72807.791082,8.198442e-03,5,5,5.5,f,+2.5,+1,4,4,4.5,e,+4.5,+1
sigma+,sigma-,106,61,-72806.973874,1.712657e-01,5,5,4.5,f,-4.5,+1,4,4,3.5,e,-2.5,+1
sigma+,sigma-,107,62,-72806.964049,2.281894e-01,5,5,4.5,f,-3.5,+1,4,4,3.5,e,-1.5,+1
sigma+,sigma-,108,63,-72806.954228,2.137741e-01,5,5,4.5,f,-2.5,+1,4,4,3.5,e,-0.5,+1
sigma+,sigma-,109,64,-72806.944413,1.627594e-01,5,5,4.5,f,-1.5,+1,4,4,3.5,e,+0.5,+1
sigma+,sigma-,110,65,-72806.934602,1.016525e-01,5,5,4.5,f,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,111,66,-72806.924796,4.875881e-02,5,5,4.5,f,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,112,67,-72806.914995,1.421135e-02,5,5,4.5,f,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,128,60,-72803.442639,1.904732e-02,5,5,5.5,f,-5.5,+1,4,4,3.5,e,-3.5,+1
sigma+,sigma-,129,61,-72803.426130,1.206750e-02,5,5,5.5,f,-4.5,+1,4,4,3.5,e,-2.5,+1
sigma+,sigma-,130,62,-72803.409638,7.208601e-03,5,5,5.5,f,-3.5,+1,4,4,3.5,e,-1.5,+1
sigma+,sigma-,131,63,-72803.393164,3.987175e-03,5,5,5.5,f,-2.5,+1,4,4,3.5,e,-0.5,+1
sigma+,sigma-,132,64,-72803.376708,1.984845e-03,5,5,5.5,f,-1.5,+1,4,4,3.5,e,+0.5,+1
sigma+,sigma-,133,65,-72803.360268,8.469258e-04,5,5,5.5,f,-0.5,+1,4,4,3.5,e,+1.5,+1
sigma+,sigma-,134,66,-72803.343846,2.810761e-04,5,5,5.5,f,+0.5,+1,4,4,3.5,e,+2.5,+1
sigma+,sigma-,135,67,-72803.327441,5.597037e-05,5,5,5.5,f,+1.5,+1,4,4,3.5,e,+3.5,+1
sigma+,sigma-,38,9,-72764.286912,4.397574e-02,3,3,2.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,39,10,-72764.223379,3.474426e-02,3,3,2.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,40,11,-72764.159327,1.286986e-02,3,3,2.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,52,8,-72758.606022,3.398751e-01,3,3,3.5,f,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,53,9,-72758.527963,1.461661e-01,3,3,3.5,f,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,54,10,-72758.449412,4.888928e-02,3,3,3.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,55,11,-72758.370381,9.811067e-03,3,3,3.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,38,2,-72749.299954,2.631829e-01,3,3,2.5,f,-2.5,+1,1,1,0.5,f,-0.5,+1
sigma+,sigma-,39,3,-72749.113109,5.239288e-02,3,3,2.5,f,-1.5,+1,1,1,0.5,f,+0.5,+1
sigma+,sigma-,53,2,-72743.541005,3.455427e-07,3,3,3.5,f,-2.5,+1,1,1,0.5,f,-0.5,+1
sigma+,sigma-,54,3,-72743.339142,1.112545e-07,3,3,3.5,f,-1.5,+1,1,1,0.5,f,+0.5,+1
sigma+,sigma-,32,5,-72737.829673,7.723470e-03,3,3,2.5,e,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,33,6,-72737.767514,6.101480e-03,3,3,2.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,34,7,-72737.704819,2.259861e-03,3,3,2.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
